Code_du_departement;Libelle_du_departement;Candidat_gagnant_2017;Candidat_gagnant_2022;Nombre_voix_2017;Nombre_voix_2022;Taux_voix_exp_2017;Taux_voix_exp_2022;Inscrits_2017;Inscrits_2022;Abstentions_2017;Abstentions_2022;Votants_2017;Votants_2022;Blancs_2017;Blancs_2022;Nuls_2017;Nuls_2022;Exprimes_2017;Exprimes_2022;Taux_chomage_2017;Taux_chomage_2018;Taux_chomage_2019;Taux_chomage_2020;Taux_chomage_2021;Taux_chomage_2022;Effectifs_infirmiers_2017;Effectifs_infirmiers_2018;Effectifs_infirmiers_2019;Effectifs_infirmiers_2020;Effectifs_infirmiers_2021;Effectifs_infirmiers_2022;Effectifs_medecins_generalistes_2017;Effectifs_medecins_generalistes_2018;Effectifs_medecins_generalistes_2019;Effectifs_medecins_generalistes_2020;Effectifs_medecins_generalistes_2021;Effectifs_medecins_generalistes_2022;Moins_de_19_ans_2017;Moins_de_19_ans_2018;Moins_de_19_ans_2019;Moins_de_19_ans_2020;Moins_de_19_ans_2021;Moins_de_19_ans_2022;_20_a_39_ans_2017;_20_a_39_ans_2018;_20_a_39_ans_2019;_20_a_39_ans_2020;_20_a_39_ans_2021;_20_a_39_ans_2022;_40_a_59_ans_2017;_40_a_59_ans_2018;_40_a_59_ans_2019;_40_a_59_ans_2020;_40_a_59_ans_2021;_40_a_59_ans_2022;_60_a_74_ans_2017;_60_a_74_ans_2018;_60_a_74_ans_2019;_60_a_74_ans_2020;_60_a_74_ans_2021;_60_a_74_ans_2022;_75_ans_et_plus_2017;_75_ans_et_plus_2018;_75_ans_et_plus_2019;_75_ans_et_plus_2020;_75_ans_et_plus_2021;_75_ans_et_plus_2022;Nombre_habitants_2017;Nombre_habitants_2018;Nombre_habitants_2019;Nombre_habitants_2020;Nombre_habitants_2021;Nombre_habitants_2022;Nombre_hommes_2017;Nombre_hommes_2018;Nombre_hommes_2019;Nombre_hommes_2020;Nombre_hommes_2021;Nombre_hommes_2022;Nombre_femmes_2017;Nombre_femmes_2018;Nombre_femmes_2019;Nombre_femmes_2020;Nombre_femmes_2021;Nombre_femmes_2022
1;Ain;LE PEN_Marine;MACRON_Emmanuel;81455;92206;25;27.69;415909;438109;81530;97541;334379;340568;6342;5641;2239;1903;325798;333024;6,8;6,3;6,1;6,1;6;5,4;802;836;857;871;887;890;387;393;395;377;378;374;167436;167453;169629;170220;170271;170644;149167;150262;148849;149199;149203;149381;178495;178340;178829;180000;181355;182322;97596;99851;102281;104799;107080;108338;50656;51728;52844;53638;54123;56286;643350;647634;652432;657856;662032;666971;317292;319408;321857;324591;326615;329082;326058;328226;330575;333265;335417;337889
2;Aisne;LE PEN_Marine;LE PEN_Marine;102787;104342;35,67;39.25;375752;373544;80183;101089;295569;272455;5047;3767;2323;2828;288199;265860;13;12,4;11,7;11;11;10,4;720;752;776;816;821;834;347;325;320;319;321;313;135238;134403;133588;131255;129149;127328;117461;116346;115580;115693;114953;114151;141427;139838;137655;135894;134760;133577;91681;94077;95956;97798;99463;99174;48683;48652;48566;48734;48658;50493;534490;533316;531345;529374;526983;524723;260669;259868;259129;258373;257336;256436;273821;273448;272216;271001;269647;268287
3;Allier;MACRON_Emmanuel;LE PEN_Marine;45744;50315;23,73;27.06;253946;249991;54357;58497;199589;191494;4240;3749;2556;1790;192793;185955;9,7;9,4;8,9;8,5;8,2;7,6;532;555;552;568;587;606;239;236;231;229;223;219;69603;70025;69487;68639;67560;66707;63788;62473;62465;62570;62460;62330;89746;88566;87252;86107;85010;83969;69527;70752;71240;72513;73343;73059;45324;45355;45531;45799;46008;47435;337988;337171;335975;335628;334381;333500;161855;161712;161193;161148;160627;160328;176133;175459;174782;174480;173754;173172
4;Alpes-de-Haute-Provence;LE PEN_Marine;LE PEN_Marine;24463;26010;24,53;26.9;126578;128075;24323;29290;102255;98785;1806;1478;736;624;99713;96683;10,7;10,4;9,8;9,1;8,8;8,3;381;390;399;401;394;385;160;161;163;158;154;146;35009;34584;34831;34704;34388;34085;31172;30670;30297;30655;30769;30984;44555;44276;43729;43729;43593;43372;33484;34197;34647;35364;35918;35934;19695;20341;20804;20999;21162;21823;163915;164068;164308;165451;165830;166198;79837;79782;79843;80134;80258;80339;84078;84286;84465;85317;85572;85859
5;Hautes-Alpes;MACRON_Emmanuel;MACRON_Emmanuel;18948;20507;21,8;23.78;109907;113519;20821;25357;89086;88162;1541;1395;618;532;86927;86235;8,7;8,5;8;7,7;7,9;6,8;300;305;310;312;317;326;162;158;162;163;169;180;30987;30341;30595;29682;29152;28689;28300;27833;27481;27101;26792;26531;38863;38543;38222;37723;37359;36961;27167;28270;28898;29585;30250;30567;15967;15711;16024;16514;16677;17330;141284;140698;141220;140605;140230;140078;69103;68711;68958;68673;68488;68381;72181;71987;72262;71932;71742;71697
6;Alpes-Maritimes;LE PEN_Marine;LE PEN_Marine;163140;148919;27,75;26.65;761761;778582;161905;208250;599856;570332;9028;7550;2908;4007;587920;558775;9,8;9,4;8,8;8,8;8,6;7,4;2603;2628;2715;2777;2711;2646;1139;1135;1146;1137;1141;1133;230534;231034;233189;231865;231909;232495;239490;239120;239709;238190;237952;237601;286482;285842;287563;286952;287232;287591;193668;195649;197248;200202;203211;203151;133136;134574;136574;140201;141947;145395;1083310;1086219;1094283;1097410;1102251;1106233;512378;513618;517600;518860;520992;522592;570932;572601;576683;578550;581259;583641
7;Ard���che;LE PEN_Marine;LE PEN_Marine;45588;49594;23,13;25.18;249260;255859;46619;54114;202641;201745;3901;3311;1667;1459;197073;196975;10,1;9,8;9,1;8,7;8,6;8,1;574;615;636;656;663;666;253;249;238;237;225;231;72319;72319;73042;72242;71584;70808;62210;61951;61548;61483;61488;61678;89649;89001;88431;88061;87895;87456;64118;65918;67049;68701;69618;70096;37416;37417;38208;38838;39427;41176;325712;326606;328278;329325;330012;331214;158821;159354;160249;160890;161296;161883;166891;167252;168029;168435;168716;169331
8;Ardennes;LE PEN_Marine;LE PEN_Marine;47578;48242;32,41;36.02;194379;186197;44076;49368;150303;136829;2552;1909;948;984;146803;133936;11,1;10,4;10;9,6;9,5;9,4;374;385;401;418;426;434;228;226;223;217;212;204;64962;64051;63776;63202;62426;61547;58483;57851;57208;57010;56391;55834;74727;73710;72468;71450;70458;69516;48675;49775;50655;51785;52830;52936;26732;26458;26475;26254;26111;26857;273579;271845;270582;269701;268216;266690;133379;132765;132155;131685;130987;130280;140200;139080;138427;138016;137229;136410
9;Ari���ge;MÉLENCHON_Jean-Luc;M���LENCHON_Jean-Luc;25000;23908;26,77;26.07;117409;119039;21392;25028;96017;94011;1728;1532;901;775;93388;91704;11,5;11,2;10,7;9,8;9,7;9,4;383;385;404;413;415;412;142;137;131;130;129;125;31968;31454;31578;31842;31548;31198;29096;29180;28930;28877;28949;29077;41710;41437;41128;40807;40526;40257;30993;31611;32096;32967;33648;33811;19386;19384;19555;19461;19551;20081;153153;153066;153287;153954;154222;154424;75055;74920;75049;75280;75415;75549;78098;78146;78238;78674;78807;78875
10;Aube;LE PEN_Marine;LE PEN_Marine;48846;49316;30,33;32.95;203847;205551;38951;52384;164896;153167;2745;2339;1083;1158;161068;149670;12;11,4;10,7;10;10;9,5;302;320;322;329;349;356;199;202;197;189;188;188;75593;75858;75763;76308;76261;76193;69899;69747;69695;69712;69833;69895;79906;78955;78270;77760;77493;77056;53803;54638;55651;56161;56670;56340;30819;30822;30863;31494;31574;32699;310020;310020;310242;311435;311831;312183;150284;150587;150897;151572;151766;152017;159736;159433;159345;159863;160065;160166
11;Aude;LE PEN_Marine;LE PEN_Marine;60584;64027;28,26;30.14;272724;279927;52568;62972;220156;216955;3848;2962;1955;1567;214353;212426;12,7;12,3;11,5;10,7;10,8;10;841;853;872;890;889;896;327;323;318;316;311;308;80818;81039;81218;80030;79461;79163;71523;71508;71161;71304;71582;71633;98007;98189;97666;97644;97627;97400;75694;77756;78470;79649;80850;81025;44218;44314;45555;46590;47365;49109;370260;372806;374070;375217;376885;378330;177975;179178;179865;180223;180919;181548;192285;193628;194205;194994;195966;196782
12;Aveyron;MACRON_Emmanuel;MACRON_Emmanuel;45583;47430;25,83;27.75;218442;219468;36544;43833;181898;175635;3545;3079;1891;1654;176462;170902;6,9;6,6;6,4;6,1;6;5,7;619;631;646;663;679;688;226;221;221;219;215;219;57554;57301;57231;56530;55957;55395;52009;52269;52295;52232;52231;52285;75035;73851;73157;72656;72293;71806;56031;57338;58276;59408;60398;60503;38577;38515;38636;38728;38692;39650;279206;279274;279595;279554;279571;279639;137447;137772;138031;138076;138184;138312;141759;141502;141564;141478;141387;141327
13;Bouches-du-Rh���ne;LE PEN_Marine;LE PEN_Marine;286397;264753;27,28;26.25;1372396;1411184;300148;383816;1072248;1027368;16554;13341;5995;5407;1049699;1008620;11,3;10,9;10,1;9,4;9,2;8,8;5470;5577;5624;5657;5652;5605;2125;2117;2093;2107;2098;2100;483764;486679;485338;480858;480045;479334;489727;490502;491519;492111;491440;491709;528237;527275;527109;525822;526916;526834;328650;333387;338373;343846;348873;350503;193784;196514;200771;205433;207728;213539;2024162;2034357;2043110;2048070;2055002;2061919;967933;971641;976179;978242;981362;984454;1056229;1062716;1066931;1069828;1073640;1077465
14;Calvados;MACRON_Emmanuel;MACRON_Emmanuel;99720;120366;24,83;31.16;501153;512148;90313;117799;410840;394349;6292;5547;2926;2571;401622;386231;8,7;8,4;7,7;7,4;7;6,4;663;678;702;745;791;808;623;612;610;631;626;618;165746;164621;162591;163862;162712;161509;159523;159104;160230;159750;159461;159804;178375;176277;174958;174111;173842;173061;122166;125642;128048;131070;133257;133349;68192;68412;69078;68754;69398;72068;694002;694056;694905;697547;698670;699791;333593;333458;334053;335475;336028;336588;360409;360598;360852;362072;362642;363203
15;Cantal;MACRON_Emmanuel;MACRON_Emmanuel;24483;25038;26,74;28.42;117425;115745;22767;25019;94658;90726;2113;1803;979;821;91566;88102;5,7;5,3;4,9;4,8;4,3;4;268;277;275;289;300;315;126;128;126;125;123;128;27744;27601;27642;27489;27359;27323;25970;26084;25953;25970;25833;25574;40291;39623;39101;38682;38238;37824;30913;31574;32032;32473;33057;33111;20225;19883;19964;19765;19636;19971;145143;144765;144692;144379;144123;143803;70752;70732;70743;70550;70391;70217;74391;74033;73949;73829;73732;73586
